"","angstrom","value","u","line"
"37",3680,0.163442,0.00992791039321,TRUE
"45",3720,0.123304,0.00851373444601004,TRUE
"48",3735,0.094589,0.0272813931726399,TRUE
"49",3740,0.09735,0.0754038419257601,TRUE
"51",3750,0.092763,0.11131992023296,TRUE
"53",3760,0.115005,0.0277625243168101,TRUE
"54",3765,0.127859,0.01311373103104,TRUE
"55",3770,0.152515,0.19686738276676,TRUE
"57",3780,0.186787,0.14662205923876,TRUE
"58",3785,0.168785,0.12730381377156,TRUE
"60",3795,0.117071,0.34778159084601,TRUE
"61",3800,0.123902,0.26806972227025,TRUE
"62",3805,0.142958,0.0160852654872901,TRUE
"63",3810,0.139014,0.16233558169921,TRUE
"64",3815,0.111758,0.15623117906881,TRUE
"65",3820,0.077752,0.0940359397478401,TRUE
"66",3825,0.068572,0.0165442105504899,TRUE
"67",3830,0.071436,0.13665820086361,TRUE
"68",3835,0.073236,0.55113905167876,TRUE
"69",3840,0.078391,0.0390416500281601,TRUE
"70",3845,0.091832,0.0261964907208899,TRUE
"71",3850,0.098945,0.0320466208464901,TRUE
"72",3855,0.094277,0.0288313268444099,TRUE
"73",3860,0.08452,0.02027588036356,TRUE
"74",3865,0.092683,0.04034345410624,TRUE
"75",3870,0.090944,0.0667552119220901,TRUE
"76",3875,0.098572,0.0421628318288099,TRUE
"78",3885,0.124674,0.30653441268025,TRUE
"79",3890,0.159629,0.41202765047844,TRUE
"81",3900,0.180366,0.02087478825721,TRUE
"82",3905,0.181066,0.0522537081264901,TRUE
"83",3910,0.195719,0.0315235053619601,TRUE
"84",3915,0.198379,0.00878223882496001,TRUE
"87",3930,0.08102,0.0284972550076901,TRUE
"88",3935,0.064874,0.01715782994641,TRUE
"89",3940,0.09766,0.02086664031841,TRUE
"90",3945,0.141093,0.0577978816616099,TRUE
"91",3950,0.189697,0.0954952763336101,TRUE
"92",3955,0.207173,0.0729805362308101,TRUE
"94",3965,0.1044,0.20872964865636,TRUE
"95",3970,0.081342,0.55106763632449,TRUE
"96",3975,0.151001,0.0355999914561601,TRUE
"97",3980,0.232306,0.0165636642600101,TRUE
"98",3985,0.282221,0.0338207547776399,TRUE
"99",3990,0.305108,0.02927476514169,TRUE
"116",4075,0.336532,0.01342727055121,TRUE
"117",4080,0.36375,0.0360074913409599,TRUE
"118",4085,0.411474,0.04098268238724,TRUE
"119",4090,0.427002,0.01329948658756,TRUE
"120",4095,0.386484,0.02821553343504,TRUE
"121",4100,0.351668,0.36283648535281,TRUE
"122",4105,0.364281,0.13920323690025,TRUE
"124",4115,0.368467,0.0320218856515601,TRUE
"125",4120,0.356535,0.02856062820121,TRUE
"164",4315,0.48265,0.01688931568921,TRUE
"165",4320,0.581106,0.0272640529948901,TRUE
"166",4325,0.517278,0.02733701798881,TRUE
"168",4335,0.577904,0.0545738657102499,TRUE
"169",4340,0.54676,0.27370799987521,TRUE
"170",4345,0.592457,0.05179952954401,TRUE
"172",4355,0.58254,0.02178549432081,TRUE
"173",4360,0.604961,0.01772058828969,TRUE
"268",4835,0.866472,0.01205799451921,TRUE
"269",4840,0.863004,0.01505060322481,TRUE
"270",4845,0.875038,0.01212009433569,TRUE
"272",4855,0.826683,0.02504689229641,TRUE
"273",4860,0.775823,0.11640699951409,TRUE
"274",4865,0.777579,0.02719329623521,TRUE
"614",6565,0.96722,0.00970134382115999,TRUE
