"","angstrom","value","u","line"
"37",3680,0.048179,0.00992791039321,TRUE
"45",3720,0.049852,0.00851373444601004,TRUE
"48",3735,0.048106,0.0272813931726399,TRUE
"49",3740,0.04493,0.0754038419257601,TRUE
"51",3750,0.048146,0.11131992023296,TRUE
"53",3760,0.058467,0.0277625243168101,TRUE
"54",3765,0.064297,0.01311373103104,TRUE
"55",3770,0.070222,0.19686738276676,TRUE
"57",3780,0.07757,0.14662205923876,TRUE
"58",3785,0.074383,0.12730381377156,TRUE
"60",3795,0.065174,0.34778159084601,TRUE
"61",3800,0.066042,0.26806972227025,TRUE
"62",3805,0.071901,0.0160852654872901,TRUE
"63",3810,0.073732,0.16233558169921,TRUE
"64",3815,0.06442,0.15623117906881,TRUE
"65",3820,0.053853,0.0940359397478401,TRUE
"66",3825,0.052323,0.0165442105504899,TRUE
"67",3830,0.054759,0.13665820086361,TRUE
"68",3835,0.054794,0.55113905167876,TRUE
"69",3840,0.056262,0.0390416500281601,TRUE
"70",3845,0.062748,0.0261964907208899,TRUE
"71",3850,0.066653,0.0320466208464901,TRUE
"72",3855,0.061373,0.0288313268444099,TRUE
"73",3860,0.055484,0.02027588036356,TRUE
"74",3865,0.057888,0.04034345410624,TRUE
"75",3870,0.063602,0.0667552119220901,TRUE
"76",3875,0.065978,0.0421628318288099,TRUE
"78",3885,0.06462,0.30653441268025,TRUE
"79",3890,0.064657,0.41202765047844,TRUE
"81",3900,0.071089,0.02087478825721,TRUE
"82",3905,0.076528,0.0522537081264901,TRUE
"83",3910,0.079447,0.0315235053619601,TRUE
"84",3915,0.076522,0.00878223882496001,TRUE
"87",3930,0.047295,0.0284972550076901,TRUE
"88",3935,0.040822,0.01715782994641,TRUE
"89",3940,0.043502,0.02086664031841,TRUE
"90",3945,0.057705,0.0577978816616099,TRUE
"91",3950,0.073412,0.0954952763336101,TRUE
"92",3955,0.079398,0.0729805362308101,TRUE
"94",3965,0.05369,0.20872964865636,TRUE
"95",3970,0.044154,0.55106763632449,TRUE
"96",3975,0.059468,0.0355999914561601,TRUE
"97",3980,0.084272,0.0165636642600101,TRUE
"98",3985,0.100526,0.0338207547776399,TRUE
"99",3990,0.110904,0.02927476514169,TRUE
"116",4075,0.143077,0.01342727055121,TRUE
"117",4080,0.148546,0.0360074913409599,TRUE
"118",4085,0.178818,0.04098268238724,TRUE
"119",4090,0.200206,0.01329948658756,TRUE
"120",4095,0.183193,0.02821553343504,TRUE
"121",4100,0.160538,0.36283648535281,TRUE
"122",4105,0.166668,0.13920323690025,TRUE
"124",4115,0.175997,0.0320218856515601,TRUE
"125",4120,0.165601,0.02856062820121,TRUE
"164",4315,0.267437,0.01688931568921,TRUE
"165",4320,0.312994,0.0272640529948901,TRUE
"166",4325,0.319163,0.02733701798881,TRUE
"168",4335,0.292547,0.0545738657102499,TRUE
"169",4340,0.293685,0.27370799987521,TRUE
"170",4345,0.307153,0.05179952954401,TRUE
"172",4355,0.341177,0.02178549432081,TRUE
"173",4360,0.354551,0.01772058828969,TRUE
"268",4835,0.589656,0.01205799451921,TRUE
"269",4840,0.607135,0.01505060322481,TRUE
"270",4845,0.610639,0.01212009433569,TRUE
"272",4855,0.555692,0.02504689229641,TRUE
"273",4860,0.531067,0.11640699951409,TRUE
"274",4865,0.545676,0.02719329623521,TRUE
"614",6565,1.412446,0.00970134382115999,TRUE
